IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
190.93.244.118,2,2,0.00,151.46,0.00
104.16.11.177,2,2,0.00,156.48,0.00
190.93.246.170,2,2,0.00,168.20,0.00
104.16.14.217,2,2,0.00,224.03,0.00
198.41.204.230,2,2,0.00,227.95,0.00
198.41.203.10,2,2,0.00,228.92,0.00
190.93.247.205,2,2,0.00,230.43,0.00
198.41.205.218,2,2,0.00,233.69,0.00
141.101.121.220,2,2,0.00,235.45,0.00
173.245.59.167,2,2,0.00,236.43,0.00
198.41.202.95,2,2,0.00,243.20,0.00
198.41.195.22,2,2,0.00,244.45,0.00
103.21.244.35,2,2,0.00,247.19,0.00
198.41.206.199,2,2,0.00,247.44,0.00
141.101.115.165,2,2,0.00,248.71,0.00
198.41.198.83,2,2,0.00,257.91,0.00
198.41.196.37,2,2,0.00,257.91,0.00
198.41.192.136,2,2,0.00,258.41,0.00
198.41.194.32,2,2,0.00,259.16,0.00
104.16.154.131,2,2,0.00,275.84,0.00
104.16.146.54,2,2,0.00,275.99,0.00
162.159.129.66,2,2,0.00,276.13,0.00
104.16.147.249,2,2,0.00,276.45,0.00
104.16.148.231,2,2,0.00,276.45,0.00
162.159.51.26,2,2,0.00,277.31,0.00
162.159.33.130,2,2,0.00,277.31,0.00
162.159.49.8,2,2,0.00,277.63,0.00
198.41.197.76,2,2,0.00,296.59,0.00
198.41.201.155,2,2,0.00,306.42,0.00
104.16.171.138,2,2,0.00,323.47,0.00
104.16.37.44,2,2,0.00,325.64,0.00
104.16.38.95,2,2,0.00,325.96,0.00
162.159.140.13,2,2,0.00,327.19,0.00
104.16.115.17,2,2,0.00,327.89,0.00
104.16.35.79,2,2,0.00,327.96,0.00
104.16.112.199,2,2,0.00,328.97,0.00
104.16.114.181,2,2,0.00,329.47,0.00
162.159.240.169,2,2,0.00,330.21,0.00
162.159.9.61,2,2,0.00,330.23,0.00
104.16.113.248,2,2,0.00,330.48,0.00
104.16.172.40,2,2,0.00,340.90,0.00
104.16.192.58,2,2,0.00,345.08,0.00
162.159.10.102,2,2,0.00,346.19,0.00
104.16.102.15,2,2,0.00,346.19,0.00
104.16.198.42,2,2,0.00,349.69,0.00
104.16.101.3,2,2,0.00,378.32,0.00
172.64.32.78,2,2,0.00,384.59,0.00
172.64.35.147,2,2,0.00,385.09,0.00
172.64.34.252,2,2,0.00,385.59,0.00
