IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
190.93.246.213,4,4,0.00,101.56,0.00
162.159.60.161,4,4,0.00,146.11,0.00
162.159.43.106,4,4,0.00,279.57,0.00
162.159.34.87,4,4,0.00,279.82,0.00
173.245.59.69,4,4,0.00,309.62,0.00
173.245.58.154,4,4,0.00,310.11,0.00
173.245.49.201,4,4,0.00,310.60,0.00
162.159.41.208,4,4,0.00,318.34,0.00
162.159.3.139,4,4,0.00,319.07,0.00
162.159.39.33,4,4,0.00,319.61,0.00
162.159.133.53,4,4,0.00,320.69,0.00
198.41.205.179,4,4,0.00,320.84,0.00
162.159.35.196,4,4,0.00,321.09,0.00
162.159.207.182,4,4,0.00,321.52,0.00
162.159.14.92,4,4,0.00,321.54,0.00
162.159.8.253,4,4,0.00,321.95,0.00
162.159.40.15,4,4,0.00,322.08,0.00
198.41.196.63,4,4,0.00,323.00,0.00
162.159.46.12,4,4,0.00,341.37,0.00
162.159.128.40,4,4,0.00,341.70,0.00
162.159.26.195,4,4,0.00,342.26,0.00
162.159.130.150,4,4,0.00,365.96,0.00
162.159.2.218,4,4,0.00,366.62,0.00
162.159.160.237,4,4,0.00,367.40,0.00
198.41.222.89,4,4,0.00,368.36,0.00
162.159.202.213,4,4,0.00,453.12,0.00
162.159.36.49,4,4,0.00,454.20,0.00
162.159.21.71,4,4,0.00,454.32,0.00
162.159.61.4,4,4,0.00,454.66,0.00
162.159.27.156,4,4,0.00,454.95,0.00
162.159.56.127,4,4,0.00,455.40,0.00
162.159.198.248,4,4,0.00,455.96,0.00
162.159.206.60,4,4,0.00,456.57,0.00
162.159.33.254,4,4,0.00,470.51,0.00
162.159.10.71,4,4,0.00,471.53,0.00
162.159.38.85,4,4,0.00,472.18,0.00
162.159.49.168,4,4,0.00,472.38,0.00
162.159.48.91,4,4,0.00,472.69,0.00
162.159.50.30,4,4,0.00,473.46,0.00
162.159.205.86,4,4,0.00,473.58,0.00
162.159.32.95,4,4,0.00,473.73,0.00
162.159.51.216,4,4,0.00,474.41,0.00
162.159.58.163,4,4,0.00,475.26,0.00
162.159.57.170,4,4,0.00,475.79,0.00
104.16.12.70,4,4,0.00,498.79,0.00
104.16.2.24,4,4,0.00,526.31,0.00
104.16.6.198,4,4,0.00,528.77,0.00
104.16.0.197,4,4,0.00,544.87,0.00
104.16.9.168,4,4,0.00,570.53,0.00
