IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.81.242,10,9,0.10,581.01,0.00
141.101.114.119,10,9,0.10,583.82,0.00
162.159.60.179,10,9,0.10,589.39,0.00
198.41.192.137,10,8,0.20,511.22,0.00
141.101.113.142,10,8,0.20,511.44,0.00
141.101.115.153,10,8,0.20,518.53,0.00
108.162.198.46,10,8,0.20,527.84,0.00
162.159.46.37,10,8,0.20,542.50,0.00
198.41.204.182,10,8,0.20,544.45,0.00
162.159.9.68,10,8,0.20,558.81,0.00
162.159.2.26,10,8,0.20,559.18,0.00
162.159.4.191,10,8,0.20,786.55,0.00
198.41.196.239,10,8,0.20,788.42,0.00
198.41.208.78,10,8,0.20,788.60,0.00
108.162.193.74,10,7,0.30,440.17,0.00
141.101.120.26,10,7,0.30,441.87,0.00
198.41.203.34,10,7,0.30,449.48,0.00
108.162.195.85,10,7,0.30,588.45,0.00
162.159.18.232,10,7,0.30,589.66,0.00
162.159.8.201,10,7,0.30,589.81,0.00
162.159.50.124,10,7,0.30,607.48,0.00
162.159.39.43,10,7,0.30,742.87,0.00
198.41.218.20,10,7,0.30,745.43,0.00
162.159.62.251,10,7,0.30,751.77,0.00
198.41.194.113,10,7,0.30,752.53,0.00
198.41.207.229,10,7,0.30,752.57,0.00
141.101.121.155,10,7,0.30,753.51,0.00
172.64.153.242,10,7,0.30,809.78,0.00
104.23.111.168,10,7,0.30,909.57,0.00
104.23.99.2,10,7,0.30,911.93,0.00
104.25.247.1,10,7,0.30,912.19,0.00
104.23.134.68,10,7,0.30,912.27,0.00
104.25.251.59,10,7,0.30,933.99,0.00
