IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.201.79,4,4,0.00,168.98,0.00
162.159.35.239,4,4,0.00,246.29,0.00
162.159.142.111,4,4,0.00,249.04,0.00
198.41.203.200,4,4,0.00,249.29,0.00
141.101.115.249,4,4,0.00,249.37,0.00
188.114.97.130,4,4,0.00,249.41,0.00
108.162.198.145,4,4,0.00,250.66,0.00
162.159.51.93,4,4,0.00,258.13,0.00
162.159.153.51,4,4,0.00,258.14,0.00
141.101.122.161,4,4,0.00,260.02,0.00
162.159.2.4,4,4,0.00,279.58,0.00
162.159.130.189,4,4,0.00,280.33,0.00
198.41.222.89,4,4,0.00,281.45,0.00
198.41.195.112,4,4,0.00,282.89,0.00
162.159.0.33,4,4,0.00,347.06,0.00
162.159.13.127,4,4,0.00,347.81,0.00
162.159.143.138,4,4,0.00,347.94,0.00
162.159.1.150,4,4,0.00,348.34,0.00
162.159.16.109,4,4,0.00,348.83,0.00
162.159.11.84,4,4,0.00,348.83,0.00
162.159.5.197,4,4,0.00,349.57,0.00
162.159.3.52,4,4,0.00,349.57,0.00
162.159.10.175,4,4,0.00,349.97,0.00
162.159.14.216,4,4,0.00,350.09,0.00
162.159.17.105,4,4,0.00,350.85,0.00
162.159.19.11,4,4,0.00,361.53,0.00
104.16.5.90,4,4,0.00,570.65,0.00
104.16.9.118,4,4,0.00,573.25,0.00
162.159.244.155,4,4,0.00,605.15,0.00
162.159.240.74,4,4,0.00,605.78,0.00
162.159.239.111,4,4,0.00,605.78,0.00
104.16.2.41,4,4,0.00,610.32,0.00
104.16.8.71,4,4,0.00,611.90,0.00
162.159.245.178,4,4,0.00,620.89,0.00
162.159.243.38,4,4,0.00,620.91,0.00
104.16.12.180,4,4,0.00,624.59,0.00
162.159.246.96,4,4,0.00,647.30,0.00
162.159.247.42,4,4,0.00,647.34,0.00
104.16.4.195,4,4,0.00,647.47,0.00
162.159.248.202,4,4,0.00,647.95,0.00
162.159.251.157,4,4,0.00,728.02,0.00
162.159.252.27,4,4,0.00,728.15,0.00
162.159.250.111,4,4,0.00,776.61,0.00
