IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
108.162.192.243,4,4,0.00,273.19,0.00
173.245.58.115,4,4,0.00,273.56,0.00
162.159.8.2,4,4,0.00,282.35,0.00
162.159.40.99,4,4,0.00,284.90,0.00
198.41.199.38,4,4,0.00,285.18,0.00
162.159.128.148,4,4,0.00,285.60,0.00
162.159.33.234,4,4,0.00,285.87,0.00
162.159.45.193,4,4,0.00,286.62,0.00
173.245.49.234,4,4,0.00,286.68,0.00
198.41.202.212,4,4,0.00,287.42,0.00
141.101.115.202,4,4,0.00,287.74,0.00
198.41.219.146,4,4,0.00,288.03,0.00
103.21.244.185,4,4,0.00,288.32,0.00
162.159.202.136,4,4,0.00,329.81,0.00
162.159.196.63,4,4,0.00,330.14,0.00
162.159.207.48,4,4,0.00,509.51,0.00
162.159.153.101,4,4,0.00,509.90,0.00
162.159.205.14,4,4,0.00,511.40,0.00
162.159.142.26,4,4,0.00,511.55,0.00
162.159.136.131,4,4,0.00,512.42,0.00
162.159.15.118,4,4,0.00,513.09,0.00
162.159.9.58,4,4,0.00,513.71,0.00
162.159.44.236,4,4,0.00,514.14,0.00
162.159.160.248,4,4,0.00,527.47,0.00
162.159.203.228,4,4,0.00,558.50,0.00
172.64.146.87,4,4,0.00,813.55,0.00
104.25.250.150,4,4,0.00,838.63,0.00
162.159.240.168,4,4,0.00,846.59,0.00
162.159.13.16,4,3,0.25,304.78,0.00
162.159.60.0,4,3,0.25,328.33,0.00
162.159.39.244,4,3,0.25,353.78,0.00
162.159.11.87,4,3,0.25,356.79,0.00
198.41.204.213,4,3,0.25,359.49,0.00
188.114.98.47,4,3,0.25,375.91,0.00
104.16.1.19,4,3,0.25,691.50,0.00
104.16.13.206,4,3,0.25,693.12,0.00
198.41.198.185,4,3,0.25,709.96,0.00
162.159.26.76,4,3,0.25,736.64,0.00
162.159.6.237,4,3,0.25,736.78,0.00
162.159.36.174,4,3,0.25,736.95,0.00
162.159.82.126,4,3,0.25,738.93,0.00
188.114.99.191,4,3,0.25,739.10,0.00
162.159.7.219,4,3,0.25,739.13,0.00
162.159.5.156,4,3,0.25,739.15,0.00
104.16.11.248,4,3,0.25,743.49,0.00
104.16.7.40,4,3,0.25,749.38,0.00
172.64.153.234,4,3,0.25,750.61,0.00
162.159.17.56,4,3,0.25,753.01,0.00
104.25.241.215,4,3,0.25,753.18,0.00
